calibrate
Number of Components,Grid Size (n*n),Pruned Nodes,Total Nodes,Time,Branching Depth
,,,,,
1,22,878,2,0.000121,1
1,22,878,2,0.00012,2
1,22,878,2,0.000188,3
1,23,878,2,0.000129,1
1,23,878,2,0.000142,2
1,23,878,2,0.000141,3
1,24,878,2,0.000137,1
1,24,878,2,0.00012,2
1,24,878,2,0.000154,3
1,25,878,2,0.000126,1
1,25,878,2,0.000135,2
1,25,878,2,0.000155,3
1,1,878,2,2.3E-05,1
1,1,878,2,1.3E-05,2
1,1,878,2,8E-06,3
1,1,878,2,8E-06,4
1,1,878,2,8E-06,5
1,1,878,2,8E-06,6
1,2,878,2,2.1E-05,1
1,2,878,2,1.9E-05,2
1,2,878,2,1.2E-05,3
1,2,878,2,1E-05,4
1,2,878,2,1.1E-05,5
1,2,878,2,2.2E-05,6
1,3,878,2,2.6E-05,1
1,3,878,2,2E-05,2
1,3,878,2,1.5E-05,3
1,3,878,2,1.2E-05,4
1,3,878,2,1.1E-05,5
1,3,878,2,2.4E-05,6
1,4,878,2,2.2E-05,1
1,4,878,2,2.4E-05,2
1,4,878,2,1.4E-05,3
1,4,878,2,1.4E-05,4
1,4,878,2,3.1E-05,5
1,4,878,2,2.3E-05,6
1,5,878,2,3.3E-05,1
1,5,878,2,3.9E-05,2
1,5,878,2,2.5E-05,3
1,5,878,2,1.7E-05,4
1,5,878,2,1.6E-05,5
1,5,878,2,1.7E-05,6
1,6,878,2,3.1E-05,1
1,6,878,2,3E-05,2
1,6,878,2,2E-05,3
1,6,878,2,2.1E-05,4
1,6,878,2,2.1E-05,5
1,6,878,2,2.5E-05,6
1,7,878,2,3.2E-05,1
1,7,878,2,3.8E-05,2
1,7,878,2,2.1E-05,3
1,7,878,2,2.2E-05,4
1,7,878,2,2.8E-05,5
1,7,878,2,2.5E-05,6
1,8,878,2,3.6E-05,1
1,8,878,2,3E-05,2
1,8,878,2,2.4E-05,3
1,8,878,2,2.5E-05,4
1,8,878,2,4E-05,5
1,8,878,2,4.4E-05,6
1,9,878,2,3.1E-05,1
1,9,878,2,4.4E-05,2
1,9,878,2,4.5E-05,3
1,9,878,2,3.3E-05,4
1,9,878,2,4.2E-05,5
1,9,878,2,2.8E-05,6
1,10,878,2,4.5E-05,1
1,10,878,2,5.1E-05,2
1,10,878,2,5E-05,3
1,10,878,2,3.7E-05,4
1,10,878,2,4.7E-05,5
1,10,878,2,3.4E-05,6
1,11,878,2,4.7E-05,1
1,11,878,2,4.6E-05,2
1,11,878,2,3.5E-05,3
1,11,878,2,4.8E-05,4
1,11,878,2,4.9E-05,5
1,11,878,2,4.4E-05,6
1,12,878,2,7.4E-05,1
1,12,878,2,5.4E-05,2
1,12,878,2,6.6E-05,3
1,12,878,2,5.1E-05,4
1,12,878,2,4.8E-05,5
1,12,878,2,6.5E-05,6
1,13,878,2,4.4E-05,1
1,13,878,2,5.5E-05,2
1,13,878,2,4.8E-05,3
1,13,878,2,4.8E-05,4
1,13,878,2,6.9E-05,5
1,13,878,2,5.4E-05,6
1,14,878,2,7.3E-05,1
1,14,878,2,8.1E-05,2
1,14,878,2,6.3E-05,3
1,14,878,2,9.3E-05,4
1,14,878,2,7.3E-05,5
1,14,878,2,7.8E-05,6
1,15,878,2,8.3E-05,1
1,15,878,2,7.7E-05,2
1,15,878,2,7.8E-05,3
1,15,878,2,7.2E-05,4
1,15,878,2,7.3E-05,5
1,15,878,2,8.1E-05,6
1,16,878,2,8.3E-05,1
1,16,878,2,9.1E-05,2
1,16,878,2,8.4E-05,3
1,17,878,2,9.5E-05,1
1,17,878,2,9.2E-05,2
1,17,878,2,9.5E-05,3
1,18,878,2,9.8E-05,1
1,18,878,2,9.6E-05,2
1,18,878,2,0.000101,3
1,19,878,2,0.000109,1
1,19,878,2,0.000106,2
